# dx dy dz
0.970135 -0.19729 -0.141121
0.358755 -0.0537252 -0.931885
-0.52135 0.624152 -0.581918
-0.495938 -0.855438 -0.149238
0.966417 -0.107001 -0.233641
0.265875 -0.441079 -0.857181
0.783219 0.493377 -0.378347
-0.040412 -0.158064 -0.986602
0.469252 -0.403991 -0.785235
0.245716 0.351052 -0.903541
0.169354 0.784176 -0.596982
-0.366943 0.00592546 -0.930225
0.0485214 -0.823412 -0.565366
0.484385 -0.519488 -0.70392
-0.262327 0.685801 -0.678868
-0.850266 -0.0159668 -0.526111
-0.616262 0.594587 -0.516417
0.530276 -0.779733 -0.332902
0.507354 -0.543874 -0.668425
-0.283934 -0.741469 -0.607952
-0.487177 0.170423 -0.856513
-0.178388 -0.362657 -0.91469
-0.924603 0.0115156 -0.380758
-0.282267 0.767141 -0.576038
-0.138974 -0.0762121 -0.987359
-0.236881 -0.945011 -0.225483
0.114067 -0.869772 -0.480089
0.842206 0.40969 -0.350489
0.544993 -0.467701 -0.695872
0.511382 0.562952 -0.649286
-0.701044 -0.574702 -0.422202
-0.375462 0.335796 -0.863869
0.670922 -0.642403 -0.370382
0.599012 -0.574973 -0.557306
0.110133 0.193274 -0.974944
-0.211962 -0.21421 -0.953513
-0.0302657 -0.55338 -0.832379
0.408646 0.0525677 -0.911178
-0.127114 0.282775 -0.950726
-0.00364621 -0.0772431 -0.997006
-0.442152 -0.458954 -0.770625
-0.357111 -0.411842 -0.838367
-0.352817 -0.291257 -0.889207
-0.0126101 0.912815 -0.408178
0.908394 0.120477 -0.400382
-0.530315 -0.820905 -0.21185
-0.221151 0.354846 -0.908392
-0.35471 0.625038 -0.695348
-0.554832 -0.565455 -0.610264
-0.565043 0.445318 -0.694564
-0.84283 -0.309054 -0.440594
-0.628848 0.217691 -0.746432
-0.171671 -0.946656 -0.272711
-0.650667 0.484411 -0.584789
0.430205 -0.846987 -0.31231
0.347105 0.346189 -0.871591
-0.918235 0.245185 -0.311012
0.0959869 -0.380687 -0.919709
-0.550703 0.678503 -0.486169
-0.809764 -0.169114 -0.561857
0.0437689 -0.512289 -0.857697
-0.477498 -0.39499 -0.784843
0.396759 -0.30597 -0.865428
0.336706 -0.386622 -0.858576
0.299777 0.117644 -0.946728
-0.20576 0.318729 -0.925243
-0.47103 -0.735737 -0.486644
0.491364 -0.539817 -0.683491
0.149328 0.486072 -0.861066
0.167716 0.542213 -0.823333
-0.0616012 0.569304 -0.819816
0.704498 0.410004 -0.579292
-0.212277 -0.580669 -0.785978
0.56513 -0.631626 -0.530733
0.0663147 -0.76133 -0.644964
0.376391 0.0738716 -0.923511
-0.0774459 0.495177 -0.865333
0.154505 0.346323 -0.925305
0.619691 0.586335 -0.521722
-0.468114 0.315204 -0.82554
-0.484079 0.349378 -0.802248
0.76409 -0.534948 -0.36055
0.3563 -0.261897 -0.896917
0.0371513 -0.900601 -0.433056
0.587481 0.744638 -0.316828
-0.0617427 0.315999 -0.946748
-0.494176 -0.523016 -0.694438
-0.888064 0.143937 -0.436606
