# Flux Map Data - Generated: 2025-04-02 11:38:01
# Number of rays per position: 50000
# Detector dimensions: 40cm x 40cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 175 degrees
# Theta bins: 180
# Phi bins: 90
# Mirror reflectance: 0.99
# Gaussian roughness: 0.01
# Lambertian scattering: enabled
# Source position (x,y,z): -60cm, 0cm, -75cm
# Source direction (x,y,z): 5, 0, 0
# Max reflections: 50000
theta,phi,fraction
4.250000,290.000000,0.005380
4.250000,294.000000,0.005780
4.250000,298.000000,0.005540
4.250000,302.000000,0.005740
4.250000,306.000000,0.005820
4.250000,310.000000,0.006020
4.250000,314.000000,0.006160
4.250000,318.000000,0.005760
4.250000,322.000000,0.006380
4.250000,326.000000,0.005560
4.250000,330.000000,0.005700
4.250000,334.000000,0.006020
4.250000,338.000000,0.005980
4.250000,342.000000,0.005500
4.250000,346.000000,0.006240
4.250000,350.000000,0.005900
4.250000,354.000000,0.006040
4.250000,358.000000,0.006360
4.750000,2.000000,0.006160
4.750000,6.000000,0.005740
4.750000,10.000000,0.005900
4.750000,14.000000,0.006180
4.750000,18.000000,0.005940
4.750000,22.000000,0.006000
4.750000,26.000000,0.006160
4.750000,30.000000,0.006540
4.750000,34.000000,0.005800
4.750000,38.000000,0.005660
4.750000,42.000000,0.006260
4.750000,46.000000,0.006280
4.750000,50.000000,0.005660
4.750000,54.000000,0.005960
4.750000,58.000000,0.006040
4.750000,62.000000,0.006560
4.750000,66.000000,0.005800
4.750000,70.000000,0.005900
4.750000,74.000000,0.005760
4.750000,78.000000,0.006100
4.750000,82.000000,0.006420
4.750000,86.000000,0.006100
4.750000,90.000000,0.006180
4.750000,94.000000,0.006500
4.750000,98.000000,0.006540
4.750000,102.000000,0.006480
4.750000,106.000000,0.006060
4.750000,110.000000,0.005940
4.750000,114.000000,0.006180
4.750000,118.000000,0.005720
4.750000,122.000000,0.005660
4.750000,126.000000,0.006340
4.750000,130.000000,0.005740
4.750000,134.000000,0.006220
4.750000,138.000000,0.006180
4.750000,142.000000,0.005560
4.750000,146.000000,0.006040
4.750000,150.000000,0.006060
4.750000,154.000000,0.005680
4.750000,158.000000,0.006480
4.750000,162.000000,0.005620
4.750000,166.000000,0.005500
4.750000,170.000000,0.005540
